C:\Users\shaul\PycharmProjects\ZageTheSmartSnake\.venv\Scripts\python.exe "C:\Users\shaul\PycharmProjects\ZageTheSmartSnake\step 1 simulation\step1_sim.py" 
C:\Users\shaul\PycharmProjects\ZageTheSmartSnake\.venv\Lib\site-packages\pygame\surfarray.py:47: UserWarning: The NumPy module was reloaded (imported a second time). This can in some cases result in small but subtle issues and is discouraged.
  import numpy
pygame 2.6.0 (SDL 2.28.4, Python 3.12.1)
(1771, 0.00017950002802535892)
(1772, 0.00018129998352378607)
(1773, 0.00019200000679120421)
(1774, 0.00018670002464205027)
(1775, 0.00018360000103712082)
(1776, 0.00018350000027567148)
(1777, 0.0001803000341169536)
(1778, 0.00018239999189972878)
(1779, 0.00018010003259405494)
(1780, 0.00018149998504668474)
(1781, 0.0001838000025600195)
(1782, 0.00018119998276233673)
(1783, 0.00017940002726390958)
(1784, 0.00018169998656958342)
(1785, 0.00017950002802535892)
(1786, 0.00018149998504668474)
(1787, 0.00017860002117231488)
(1788, 0.0001818999880924821)
(1789, 0.00018069997895509005)
(1790, 0.00019240000983700156)
(1791, 0.00017439998919144273)
(1792, 0.00017770001431927085)
(1793, 0.00020920002134516835)
(1794, 0.00017910002497956157)
(1795, 0.00020919996313750744)
(1796, 0.0001767999492585659)
(1797, 0.0001742999884299934)
(1798, 0.00017710000975057483)
(1799, 0.00020130001939833164)
(1800, 0.00019230000907555223)
(1801, 0.00017570005729794502)
(1802, 0.00017739995382726192)
(1803, 0.0001756999990902841)
(1804, 0.00017799995839595795)
(1805, 0.0001935999607667327)
(1806, 0.00018220004858449101)
(1807, 0.00018009997438639402)
(1808, 0.00018090003868564963)
(1809, 0.00018169998656958342)
(1810, 0.00018540001474320889)
(1811, 0.00018149998504668474)
(1812, 0.0002764000091701746)
(1813, 0.00018669996643438935)
(1814, 0.00018420000560581684)
(1815, 0.00018070003716275096)
(1816, 0.0001821999903768301)
(1817, 0.00017939996905624866)
(1818, 0.00018199998885393143)
(1819, 0.00017939996905624866)
(1820, 0.0001824999926611781)
(1821, 0.00017939996905624866)
(1822, 0.00018140004249289632)
(1823, 0.00017959997057914734)
(1824, 0.00018090003868564963)
(1825, 0.00018089998047798872)
(1826, 0.00018200004706159234)
(1827, 0.00017959997057914734)
(1828, 0.00018180004553869367)
(1829, 0.00018009997438639402)
(1830, 0.00020290003158152103)
(1831, 0.00018119998276233673)
(1832, 0.00018149998504668474)
(1833, 0.00017929996829479933)
(1834, 0.00018169998656958342)
(1835, 0.00017969997134059668)
(1836, 0.0001811000402085483)
(1837, 0.000179499969817698)
(1838, 0.00018100003944709897)
(1839, 0.00017969997134059668)
(1840, 0.00018130004173144698)
(1841, 0.00017969997134059668)
(1842, 0.000181600044015795)
(1843, 0.00017959997057914734)
(1844, 0.00018100003944709897)
(1845, 0.00017929996829479933)
(1846, 0.0001818999880924821)
(1847, 0.00018039997667074203)
(1848, 0.00018090003868564963)
(1849, 0.00017919996753335)
(1850, 0.00018079997971653938)
(1851, 0.0001810999820008874)
(1852, 0.00018260005163028836)
(1853, 0.00018009997438639402)
(1854, 0.00018130004173144698)
(1855, 0.00017989997286349535)
(1856, 0.00018180004553869367)
(1857, 0.00018019997514784336)
(1858, 0.00018120004096999764)
(1859, 0.00017829996068030596)
(1860, 0.00018049997743219137)
(1861, 0.00017880002269521356)
(1862, 0.00018749997252598405)
(1863, 0.0001800000318326056)
(1864, 0.0001813999842852354)
(1865, 0.00017860002117231488)
(1866, 0.00018079997971653938)
(1867, 0.00018040003487840295)
(1868, 0.0001824999926611781)
(1869, 0.00017990003107115626)
(1870, 0.00018129998352378607)
(1871, 0.00017910002497956157)
(1872, 0.00018099998123943806)
(1873, 0.00018090003868564963)
(1874, 0.00018239999189972878)
(1875, 0.00017960002878680825)
(1876, 0.00018199998885393143)
(1877, 0.00017989997286349535)
(1878, 0.00018239999189972878)
(1879, 0.00020380003843456507)
(1880, 0.00018780003301799297)
(1881, 0.0001832999987527728)
(1882, 0.00018420000560581684)
(1883, 0.00018319999799132347)
(1884, 0.0001917000045068562)
(1885, 0.00017220003064721823)
(1886, 0.00017439998919144273)
(1887, 0.00017200002912431955)
(1888, 0.00019689998589456081)
(1889, 0.0001938999630510807)
(1890, 0.00017549999756738544)
(1891, 0.000172699976246804)
(1892, 0.00017439998919144273)
(1893, 0.00017279997700825334)
(1894, 0.0002112000365741551)
(1895, 0.000172699976246804)
(1896, 0.00017460004892200232)
(1897, 0.00018919998547062278)
(1898, 0.00018829997861757874)
(1899, 0.00021060003200545907)
(1900, 0.00017579999985173345)
(1901, 0.00020329997641965747)
(1902, 0.00023780000628903508)
(1903, 0.00030179996974766254)
(1904, 0.0002133999951183796)
(1905, 0.0001721000298857689)
(1906, 0.0001734999823383987)
(1907, 0.00017170002683997154)
(1908, 0.00018700002692639828)
(1909, 0.00017219997243955731)
(1910, 0.00017450004816055298)
(1911, 0.00017169996863231063)
(1912, 0.00017339998157694936)
(1913, 0.00020980002591386437)
(1914, 0.0001737999846227467)
(1915, 0.00017150002531707287)
(1916, 0.0001734999823383987)
(1917, 0.00017170002683997154)
(1918, 0.00017339998157694936)
(1919, 0.0002302999491803348)
(1920, 0.00022359995637089014)
(1921, 0.00020490004681050777)
(1922, 0.00020750000840052962)
(1923, 0.0001962999813258648)
(1924, 0.0001732000382617116)
(1925, 0.0001713000237941742)
(1926, 0.00017309997929260135)
(1927, 0.0001713000237941742)
(1928, 0.00017399998614564538)
(1929, 0.00028199999360367656)
(1930, 0.00018959998851642013)
(1931, 0.00017089996254071593)
(1932, 0.0001732000382617116)
(1933, 0.00019539997447282076)
(1934, 0.0001876000314950943)
(1935, 0.00017070001922547817)
(1936, 0.00017249997472390532)
(1937, 0.0001707999617792666)
(1938, 0.00017289997776970267)
(1939, 0.00027329998556524515)
(1940, 0.000172399973962456)
(1941, 0.00017110002227127552)
(1942, 0.000172999978531152)
(1943, 0.00017019995721057057)
(1944, 0.0002107000327669084)
(1945, 0.0001708000199869275)
(1946, 0.00017319998005405068)
(1947, 0.00017100002150982618)
(1948, 0.00020640000002458692)
(1949, 0.00017250003293156624)
(1950, 0.00020810001296922565)
(1951, 0.0001705000177025795)
(1952, 0.000172999978531152)
(1953, 0.00017100002150982618)
(1954, 0.00019390002125874162)
(1955, 0.00018660002388060093)
(1956, 0.00017319998005405068)
(1957, 0.0001713000237941742)
(1958, 0.0001727000344544649)
(1959, 0.0001702999579720199)
(1960, 0.00021159998141229153)
(1961, 0.00017140002455562353)
(1962, 0.00017179996939375997)
(1963, 0.00017399998614564538)
(1964, 0.00017259997548535466)
(1965, 0.0001715999678708613)
(1966, 0.00017190002836287022)
(1967, 0.0001713000237941742)
(1968, 0.00017329998081550002)
(1969, 0.00017110002227127552)
(1970, 0.00017290003597736359)
(1971, 0.00020559999393299222)
(1972, 0.00017190002836287022)
(1973, 0.00017129996558651328)
(1974, 0.00017249997472390532)
(1975, 0.00017120002303272486)
(1976, 0.00021079997532069683)
(1977, 0.00017139996634796262)
(1978, 0.00017220003064721823)
(1979, 0.00017110002227127552)
(1980, 0.00017209997167810798)
(1981, 0.00019019999308511615)
(1982, 0.000194900028873235)
(1983, 0.00019369996152818203)
(1984, 0.0001737999846227467)
(1985, 0.00017040001694113016)
(1986, 0.00020299997413530946)
(1987, 0.00022960000205785036)
(1988, 0.00017639994621276855)
(1989, 0.00017319998005405068)
(1990, 0.0001762000028975308)
(1991, 0.00019270001212134957)
(1992, 0.00018450000789016485)
(1993, 0.00018659996567294002)
(1994, 0.00017529999604448676)
(1995, 0.00017359998309984803)
(1996, 0.00017519999528303742)
(1997, 0.00021470000501722097)
(1998, 0.00017360004130750895)
(1999, 0.00017579999985173345)
(2000, 0.0002177999704144895)
the final score is -1
0.6318912506103516

Process finished with exit code 0
